F S   UID   PID  PPID  C PRI  NI ADDR SZ WCHAN  TTY          TIME CMD
0 S 995794 28696 1467  0  80   0 - 27014 hrtime ?        00:00:00 sleep
0 S 995794 28742 1759  0  80   0 - 27014 hrtime ?        00:00:00 sleep
4 S     0 28761  1317  0  80   0 - 41910 poll_s ?        00:00:00 sshd
0 S 39483 28769 24102  0  80   0 - 27014 hrtime ?        00:00:00 sleep
5 S 1112308 28779 28761  0 80  0 - 41910 poll_s ?        00:00:00 sshd
0 S 1112308 28780 28779  0 80  0 - 30963 do_wai ?        00:00:00 bash
0 S 1112308 28808 28780  0 80  0 - 28387 do_wai ?        00:00:00 bash
0 S 1112308 28896 28808  0 80  0 - 28321 do_wai ?        00:00:00 sh
0 S 1112308 28904 28896  3 80  0 - 231925 ep_pol ?       00:00:01 node
0 S 1112308 28969 28808  0 80  0 - 27014 hrtime ?        00:00:00 sleep
0 S 1112308 28974 28904  0 80  0 - 229127 ep_pol ?       00:00:00 node
0 S 1112308 29037 28904  9 80  0 - 279636 ep_pol ?       00:00:03 node
0 S 1112308 29048 28904  3 80  0 - 225089 ep_pol ?       00:00:01 node
0 S 1112308 29061 28974  0 80  0 - 31223 do_wai pts/7    00:00:00 bash
0 S 1112308 29105 29037  3 80  0 - 202995 unix_s ?       00:00:00 cpptools
0 S 1112308 29153 29037  0 80  0 - 142450 ep_pol ?       00:00:00 node
1 S     0 29207     2  0  80   0 -     0 worker ?        00:00:00 kworker/u4:1
0 S 1112308 29214 29061  0 80  0 -  1055 do_wai pts/7    00:00:00 a.out
0 R 1112308 29216 29214  0 80  0 - 38335 -      pts/7    00:00:00 ps
0 S 1111361 31276 18665  0 80  0 - 31191 n_tty_ pts/1    00:00:00 bash
